experiment_id,date_max,n_repet,random_state,extra_sufixo_mark,fi_cut,n_fib,corte_fib,n_fib_menor,md_center_f_i,mf_center_f_i,mss_center_f_i,msl_center_f_i,md_center_p_i,mf_center_p_i,mss_center_p_i,msl_center_p_i,tscv,n_iter_t_filter,n_iter_t_pred,amp,metricas
fc80098d-bbe4-41c1-82cd-5ee6950a1b62,2026-02-01,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,7,7,2,4,7,7,2,4,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3   rmse  rmse_lr   r2  r2_lr  acc
0     04    3105     091     999  105.0     98.5 -1.0   -0.8  1.0"
639ef3f5-ea46-4368-9bc7-a96a94e03119,2026-02-01,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,4,11,2,4,4,11,2,4,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     05    3105     091     999  17.4     55.5 -0.6  -14.9  1.0"
6d0d9c41-f5c3-41be-a135-dcea0f430dfc,2026-02-01,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,3,15,2,4,5,8,2,4,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3   rmse  rmse_lr     r2  r2_lr  acc
0     06    3105     091     999  118.3     13.9 -708.7   -8.8  1.0"
bae8d598-afc2-4a6b-a494-5b236eb4fcca,2026-02-01,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,3,15,2,4,3,12,2,4,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3   rmse  rmse_lr      r2  r2_lr  acc
0     07    3105     091     999  170.2     38.2 -2206.3 -110.0  1.0"
440539c4-456c-4a40-9c0c-b06924585e07,2026-02-01,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,7,17,2,4,6,17,3,5,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3   rmse  rmse_lr     r2  r2_lr  acc
0     08    3105     091     999  188.3    100.2 -349.3  -98.2  1.0"
0ff48b83-2e91-4d92-be08-e3c14997d6a1,2026-02-01,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,13,17,2,4,16,17,3,5,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     09    3105     091     999   1.5     34.3 -0.1 -553.4  1.0"
87e1a218-a681-478f-8acd-f7d9ece6a411,2026-02-01,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,15,17,4,5,17,15,4,6,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3   rmse  rmse_lr   r2  r2_lr  acc
0     10    3105     091     999  113.4     65.2 -2.1   -0.0  1.0"
4876c5e1-5f98-4ec1-a8d9-c7bc6180eb6b,2026-02-01,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,14,15,3,5,12,15,3,4,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     11    3105     091     999  86.5    137.2 -0.2   -2.0  1.0"
3a609d7a-d077-4162-a623-9fc2c73dd3e6,2026-02-01,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,14,15,3,4,17,17,4,6,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     12    3105     091     999  84.5    102.1 -0.1   -0.6  1.0"
6d0e7998-5fa1-4da3-84e1-83237e07a6a6,2026-02-01,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,14,14,3,3,16,17,2,6,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3   rmse  rmse_lr   r2  r2_lr  acc
0     01    3105     091     999  107.6     32.9 -8.0    0.2  1.0"
c9a23af0-745b-49e7-8c13-659e2444e4e8,2026-02-01,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,12,16,3,5,16,17,2,4,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3  rmse  rmse_lr    r2  r2_lr  acc
0     02    3105     091     999  38.6     49.7 -13.5  -22.9  1.0"
6a2e06b9-1e65-42f4-9e92-8e89cffe59a3,2026-02-01 00:00:00,2,0,_ficut3_feateng1_fi_cut_reduc0.001_fev_26,0.3,20,2,9,7,7,2,4,7,7,2,4,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",1,1,1,"  CO_MES CO_PRDT CO_GEO2 CO_GEO3  rmse  rmse_lr   r2  r2_lr  acc
0     09    3105     091     999   1.0     34.3  0.6 -553.4  1.0"
