max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
34,34,3,8,0.12919235229492188,fc80098d-bbe4-41c1-82cd-5ee6950a1b62
8,233,3,8,0.14850449562072754,639ef3f5-ea46-4368-9bc7-a96a94e03119
5,1597,3,8,0.14778852462768555,6d0d9c41-f5c3-41be-a135-dcea0f430dfc
5,1597,3,8,0.13569116592407227,bae8d598-afc2-4a6b-a494-5b236eb4fcca
34,4181,3,8,0.16033101081848145,440539c4-456c-4a40-9c0c-b06924585e07
610,4181,3,8,0.13960599899291992,0ff48b83-2e91-4d92-be08-e3c14997d6a1
1597,4181,8,13,0.12770986557006836,87e1a218-a681-478f-8acd-f7d9ece6a411
987,1597,5,13,0.1289534568786621,4876c5e1-5f98-4ec1-a8d9-c7bc6180eb6b
987,1597,5,8,0.12700366973876953,3a609d7a-d077-4162-a623-9fc2c73dd3e6
987,987,5,5,0.12612128257751465,6d0e7998-5fa1-4da3-84e1-83237e07a6a6
377,2584,5,13,0.12641263008117676,c9a23af0-745b-49e7-8c13-659e2444e4e8
